"Metabolite","Weight","Direction","Rank","Stability"
"90423",0.0162777844299869,"Positive",1094,1
"74746",-0.0162776933285056,"Negative",1095,1
"88716",0.0162691992485802,"Positive",1096,1
"92214",0.0162583086954896,"Positive",1097,0.9
"65975",-0.0162519668531685,"Negative",1098,1
"66372",0.0162413021311104,"Positive",1099,0.9
"22115",-0.0162326243754775,"Negative",1100,1
"42299",0.0162314294578761,"Positive",1101,0.9
"104047",0.0162077827665153,"Positive",1102,1
"24108",0.016194572642405,"Positive",1103,0.9
"28134",-0.0161828506892277,"Negative",1104,1
"32390",0.0161791430974213,"Positive",1105,1
"43609",-0.0161526400435401,"Negative",1106,1
"16570",-0.0161413712760308,"Negative",1107,1
"7022",0.0161307368044591,"Positive",1108,1
"43364",0.016120254772568,"Positive",1109,1
"52001",0.0161170185134275,"Positive",1110,1
"68987",0.016113768380412,"Positive",1111,1
"31657",-0.0161134504885634,"Negative",1112,1
"85843",0.0160805814296325,"Positive",1113,1
"57419",-0.0160779213055035,"Negative",1114,1
"82005",-0.0160628235487768,"Negative",1115,0.9
"11286",-0.0160600332740505,"Negative",1116,1
"24529",-0.0160566032153751,"Negative",1117,1
"130948",0.016031266785455,"Positive",1118,1
"139652",0.0160229989482142,"Positive",1119,0.9
"13100",-0.0159752311189627,"Negative",1120,1
"14852",-0.0159462453175986,"Negative",1121,1
"15616",-0.0159347959784334,"Negative",1122,1
"92923",0.0159161224255319,"Positive",1123,1
"94906",0.0159139465319581,"Positive",1124,1
"80500",0.0158708067147063,"Positive",1125,1
"23376",-0.0158646837746715,"Negative",1126,1
"99882",-0.0158624159076061,"Negative",1127,1
"25240",0.0158363069780742,"Positive",1128,1
"22980",-0.0158188197012723,"Negative",1129,1
"5202",-0.0158101716535922,"Negative",1130,1
"68833",0.0157986566928083,"Positive",1131,1
"21496",-0.01577973585632,"Negative",1132,1
"40771",0.0157779422236865,"Positive",1133,1
"12080",0.0157750556029056,"Positive",1134,1
"28556",-0.0157663623962415,"Negative",1135,1
"95314",-0.01575069467775,"Negative",1136,0.9
"35657",-0.0157448848473383,"Negative",1137,0.9
"35431",-0.0157364593452214,"Negative",1138,1
"87198",0.0157245904345761,"Positive",1139,1
"93735",-0.0157175108448716,"Negative",1140,0.9
"27838",-0.0157001407401629,"Negative",1141,1
"95279",0.015693369850327,"Positive",1142,1
"43888",-0.0156805796716178,"Negative",1143,1
"11047",-0.0156695959754625,"Negative",1144,1
"124576",-0.0156644444257441,"Negative",1145,0.9
"10261",0.0156611110914897,"Positive",1146,1
"14975",-0.0156499228347221,"Negative",1147,1
"14067",0.015640203459298,"Positive",1148,1
"11524",-0.0156360410296207,"Negative",1149,1
"43842",0.0156311418726918,"Positive",1150,0.8
"31521",-0.0156237381366548,"Negative",1151,1
"23641",-0.0156225209285036,"Negative",1152,1
"70872",0.0156159510280998,"Positive",1153,0.9
"35965",-0.0156046540541259,"Negative",1154,1
"51310",-0.0155670373104385,"Negative",1155,0.9
"16594",0.0155497716831217,"Positive",1156,1
"31728",-0.0155436597812798,"Negative",1157,0.9
"6139",-0.0155372858449298,"Negative",1158,0.9
"20164",0.0155132806240371,"Positive",1159,1
"21508",-0.0155060473139223,"Negative",1160,0.9
"93643",0.0155049384481079,"Positive",1161,1
"80434",0.0154869420580232,"Positive",1162,0.9
"52243",0.015474076379667,"Positive",1163,0.9
"73273",-0.0154559463629632,"Negative",1164,0.9
"23671",-0.0154191499148916,"Negative",1165,0.9
"73236",-0.0154180135068527,"Negative",1166,0.9
"54768",0.01540255533442,"Positive",1167,1
"89801",0.0153860480005458,"Positive",1168,1
"101922",-0.0153820980035085,"Negative",1169,1
"59580",-0.0153629457999267,"Negative",1170,0.9
"9587",-0.0153617714624737,"Negative",1171,1
"36022",-0.0153547484926136,"Negative",1172,1
"26321",0.0153469456680709,"Positive",1173,1
"14481",-0.0153409776670435,"Negative",1174,1
"54972",-0.0153371470013704,"Negative",1175,1
"99125",-0.0153277698292474,"Negative",1176,1
"112203",0.0153134812991057,"Positive",1177,0.9
"34419",0.0152984409211789,"Positive",1178,1
"84605",0.015295833067975,"Positive",1179,1
"95040",-0.0152895112535315,"Negative",1180,0.9
"59312",-0.0152843414202691,"Negative",1181,0.9
"35831",0.0152678194024236,"Positive",1182,1
"62124",-0.0152620525386306,"Negative",1183,1
"14488",-0.0152537005354177,"Negative",1184,1
"50705",-0.0152490222385104,"Negative",1185,1
"61678",0.0152041233315676,"Positive",1186,0.9
"51043",-0.0151961280015145,"Negative",1187,0.9
"50049",-0.0151945602704294,"Negative",1188,1
"32345",0.0151875263102812,"Positive",1189,0.9
"91386",-0.0151807404211588,"Negative",1190,0.9
"86899",0.0151496494613055,"Positive",1191,1
"17430",0.0151450978593743,"Positive",1192,0.8
"12300",-0.015140902994202,"Negative",1193,1
"81493",-0.0151057856146241,"Negative",1194,0.9
"24720",-0.0150991789948261,"Negative",1195,1
"41499",0.0150957586113497,"Positive",1196,1
"51012",-0.0150767093946054,"Negative",1197,1
"44915",0.0150670453647417,"Positive",1198,0.9
"87780",0.0150647918191079,"Positive",1199,0.9
"55699",0.0150500478058046,"Positive",1200,0.9
"17843",0.0150499874470936,"Positive",1201,1
"21479",-0.0150433540649718,"Negative",1202,1
"76784",0.015036888819831,"Positive",1203,1
"67445",-0.0150237646306556,"Negative",1204,0.9
"34393",-0.0150188004599832,"Negative",1205,0.9
"63228",-0.0149908690685753,"Negative",1206,1
"33722",-0.0149898081811963,"Negative",1207,1
"17026",-0.0149882866422864,"Negative",1208,1
"7168",-0.0149873059573628,"Negative",1209,1
"25902",-0.0149727004990824,"Negative",1210,0.9
"86933",0.0149608573963152,"Positive",1211,1
"88178",0.014949224601822,"Positive",1212,1
"56705",0.0149306608174728,"Positive",1213,0.9
"80075",0.0149265413453971,"Positive",1214,1
"114112",-0.0149033841038136,"Negative",1215,1
"85998",0.0148992400023604,"Positive",1216,1
"29938",-0.014891493279694,"Negative",1217,1
"25988",-0.0148635263167764,"Negative",1218,1
"57437",-0.0148376618276315,"Negative",1219,0.9
"83422",0.0148269030133746,"Positive",1220,1
"50873",-0.0148232409194825,"Negative",1221,1
"8453",-0.0147936570360416,"Negative",1222,0.9
"34707",-0.014793366876903,"Negative",1223,1
"15684",-0.0147815108347971,"Negative",1224,1
"27096",-0.0147655396772955,"Negative",1225,1
"34528",-0.01475856787821,"Negative",1226,0.9
"59991",-0.014752305668867,"Negative",1227,1
