Metabolite_physical,Weight_physical,Direction_physical,Rank_physical,Stability_physical,AbsWeight_physical
23076,-0.014829872,Negative,1253,1,0.014829872
46846,0.014829568,Positive,1254,1,0.014829568
14876,-0.014822337,Negative,1255,1,0.014822337
51421,0.014816871,Positive,1256,1,0.014816871
36855,-0.014812346,Negative,1257,1,0.014812346
69879,0.014810812,Positive,1258,1,0.014810812
15372,-0.014810571,Negative,1259,1,0.014810571
77582,0.014804574,Positive,1260,1,0.014804574
14623,-0.014798254,Negative,1261,0.9,0.014798254
17529,-0.014791937,Negative,1262,1,0.014791937
28830,-0.014780182,Negative,1263,1,0.014780182
37605,-0.014776971,Negative,1264,1,0.014776971
65154,0.014773477,Positive,1265,1,0.014773477
102737,0.014773135,Positive,1266,1,0.014773135
54558,-0.014765487,Negative,1267,0.9,0.014765487
112547,-0.014748992,Negative,1268,1,0.014748992
31790,-0.014744296,Negative,1269,1,0.014744296
70755,-0.014743026,Negative,1270,0.9,0.014743026
13392,0.014732232,Positive,1271,1,0.014732232
68914,0.01472912,Positive,1272,1,0.01472912
35765,-0.014725486,Negative,1273,1,0.014725486
34641,-0.014716878,Negative,1274,1,0.014716878
23842,-0.014709274,Negative,1275,1,0.014709274
65244,0.014703211,Positive,1276,0.9,0.014703211
40772,0.014689174,Positive,1277,1,0.014689174
24677,-0.014680727,Negative,1278,1,0.014680727
16572,-0.014657198,Negative,1279,0.9,0.014657198
8411,-0.01464597,Negative,1280,1,0.01464597
28454,0.014637911,Positive,1281,1,0.014637911
17619,0.014596288,Positive,1282,1,0.014596288
14067,0.014566318,Positive,1283,1,0.014566318
7211,-0.014548345,Negative,1284,1,0.014548345
59183,-0.014543697,Negative,1285,1,0.014543697
32390,0.014537474,Positive,1286,1,0.014537474
56661,-0.014498351,Negative,1287,1,0.014498351
100122,-0.014496214,Negative,1288,0.9,0.014496214
7501,-0.01449229,Negative,1289,1,0.01449229
34329,-0.014480292,Negative,1290,1,0.014480292
76581,0.014468806,Positive,1291,1,0.014468806
87858,0.01446685,Positive,1292,1,0.01446685
94347,0.014465829,Positive,1293,1,0.014465829
5900,-0.014442297,Negative,1294,1,0.014442297
31039,-0.014437685,Negative,1295,1,0.014437685
23189,-0.014405728,Negative,1296,1,0.014405728
30411,-0.014390864,Negative,1297,1,0.014390864
12819,0.014387629,Positive,1298,1,0.014387629
14649,-0.014373304,Negative,1299,1,0.014373304
63728,-0.014360086,Negative,1300,1,0.014360086
13100,-0.014351122,Negative,1301,1,0.014351122
