"Metabolite","Weight","Direction","Rank","Stability"
"68014",-0.0333285047632147,"Negative",199,1
"10266",0.0333006559780435,"Positive",200,1
"64884",0.0332379973741897,"Positive",201,1
"7485",-0.0332093771947693,"Negative",202,1
"30006",-0.0331786314696728,"Negative",203,1
"89086",0.0330631008709952,"Positive",204,1
"69564",0.0330405660756863,"Positive",205,1
"23917",-0.0330022174368569,"Negative",206,1
"28155",-0.0329521026666423,"Negative",207,1
"91501",0.0329473422699,"Positive",208,1
"84931",0.0328455230212992,"Positive",209,1
"82805",0.0328072717069954,"Positive",210,1
"34609",-0.0327860593246029,"Negative",211,1
"84280",0.0327826503160809,"Positive",212,1
"50372",-0.0327664680758557,"Negative",213,1
"135695",0.032611522320388,"Positive",214,1
"82972",0.0325791055150903,"Positive",215,1
"22715",-0.0325773721620369,"Negative",216,1
"29666",0.0325673853122423,"Positive",217,1
"45457",0.0325100665231959,"Positive",218,1
"6525",-0.0325036271353533,"Negative",219,1
"22519",-0.0324633363070858,"Negative",220,1
"9236",-0.0324360910958086,"Negative",221,1
"24126",-0.032395366804843,"Negative",222,1
"26266",-0.032366054469218,"Negative",223,1
"12439",-0.0323386791378205,"Negative",224,1
"73221",0.0322733325681001,"Positive",225,1
"77507",0.0322679879911243,"Positive",226,1
"91340",0.0322598019847286,"Positive",227,1
"8225",-0.032161202975675,"Negative",228,1
"83473",0.0321521506025159,"Positive",229,1
"46322",-0.0321408454948268,"Negative",230,1
"71957",0.0320395777590518,"Positive",231,1
"84234",0.0320134318923339,"Positive",232,1
"68980",0.031987357403188,"Positive",233,1
"76817",0.0319681383294044,"Positive",234,1
"90407",0.0319644059816635,"Positive",235,1
"59565",-0.0319543461345977,"Negative",236,1
"83463",0.0319095319527429,"Positive",237,1
"49049",-0.0318040109521518,"Negative",238,1
"69039",0.0317744847158418,"Positive",239,1
"140584",-0.031757097963212,"Negative",240,1
"37944",-0.0317555618891435,"Negative",241,1
"137256",0.0317519811395785,"Positive",242,1
"90741",0.0317476431166623,"Positive",243,1
"41145",0.0317397327450769,"Positive",244,1
"120565",0.0317351628845827,"Positive",245,1
"66904",-0.0316977934886216,"Negative",246,1
"68986",0.031677770419449,"Positive",247,1
"5193",-0.031665771672433,"Negative",248,1
"22668",-0.0316031226382254,"Negative",249,1
"34689",-0.0314895927262053,"Negative",250,1
"9257",-0.031476601672568,"Negative",251,1
"43072",-0.031466517284548,"Negative",252,1
"49433",-0.0314603856965617,"Negative",253,1
"68888",0.0313733399967164,"Positive",254,1
"90132",0.0313060939849162,"Positive",255,1
"89794",0.0313003366809714,"Positive",256,1
"83741",0.031267636303959,"Positive",257,1
"90391",0.0312614897835389,"Positive",258,1
"76821",0.0312054868377575,"Positive",259,1
"48804",-0.0311963426809217,"Negative",260,1
