"Metabolite","Weight","Direction","Rank","Stability","AbsWeight","Compound_Name"
21457,-0.0283903392228135,"Negative",389,1,0.0283903392228135,NA
33163,-0.0283744672411629,"Negative",390,1,0.0283744672411629,"Candidate Glutamine-C6:0 (delta mass:98.0733)"
89683,-0.0283741779823332,"Negative",391,1,0.0283741779823332,NA
89694,-0.0283302689246873,"Negative",392,1,0.0283302689246873,NA
139978,-0.0282733541010098,"Negative",393,1,0.0282733541010098,"Spectral Match to 1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine from NIST14"
88065,0.0282668085419254,"Positive",394,1,0.0282668085419254,NA
95175,-0.0282404608896623,"Negative",395,1,0.0282404608896623,NA
95049,-0.0282235241269674,"Negative",396,1,0.0282235241269674,NA
96928,0.0282173183736027,"Positive",397,1,0.0282173183736027,NA
53074,0.028167998524468,"Positive",398,1,0.028167998524468,NA
9069,-0.0281414964127129,"Negative",399,1,0.0281414964127129,NA
95074,-0.028132796370717,"Negative",400,1,0.028132796370717,NA
74476,0.0281300665283183,"Positive",401,1,0.0281300665283183,NA
31911,0.0281126260939373,"Positive",402,1,0.0281126260939373,NA
80497,-0.0280835113106222,"Negative",403,1,0.0280835113106222,NA
21468,-0.0280534112511208,"Negative",404,1,0.0280534112511208,"HIPPURATE - 60.0 eV"
96671,-0.0280493367556774,"Negative",405,1,0.0280493367556774,NA
20233,0.0280297996957609,"Positive",406,1,0.0280297996957609,NA
91763,-0.0280291881811325,"Negative",407,1,0.0280291881811325,NA
112796,0.0280249260240683,"Positive",408,1,0.0280249260240683,"bilirubin - 40.0 eV"
97489,-0.0279964510369091,"Negative",409,1,0.0279964510369091,NA
93644,-0.0279665663763029,"Negative",410,1,0.0279665663763029,NA
52667,-0.0279604230398315,"Negative",411,1,0.0279604230398315,"Octanoylcarnitine - 60.00 eV"
55477,-0.0279531413437666,"Negative",412,1,0.0279531413437666,NA
42751,-0.0279485774112994,"Negative",413,1,0.0279485774112994,NA
84967,-0.0279294975004001,"Negative",414,1,0.0279294975004001,NA
28926,-0.0279258825833046,"Negative",415,1,0.0279258825833046,NA
91812,-0.0278809831252366,"Negative",416,1,0.0278809831252366,NA
62797,-0.0278202696500971,"Negative",417,1,0.0278202696500971,NA
6764,-0.0278190587640926,"Negative",418,1,0.0278190587640926,NA
124576,0.0277764627937132,"Positive",419,1,0.0277764627937132,NA
73711,-0.0277744747178132,"Negative",420,1,0.0277744747178132,NA
5671,-0.0277649726175839,"Negative",421,1,0.0277649726175839,NA
16808,-0.027756845655918,"Negative",422,1,0.027756845655918,"Xanthurenic Acid"
16127,-0.0277471670115255,"Negative",423,1,0.0277471670115255,"""""""Candidate Carnitine (delta mass 142.0627; sirius atomic difference: 7C, 10H, 3O; buddy atomic difference: 7C, 10H, 3O; literature atomic difference: 7C, 10H, 3O; putative explanation: CAR C7:1;O2)"""""""
71700,-0.0276995872413604,"Negative",424,1,0.0276995872413604,"""""""Candidate Carnitine (delta mass 166.1356; sirius atomic difference: 11C, 18H, 1O; buddy atomic difference: 11C, 18H, 1O; literature atomic difference: 11C, 18H, 1O; putative explanation: CAR C11:1)"""""""
77803,-0.0276673906489831,"Negative",425,1,0.0276673906489831,NA
77422,-0.0276232690001331,"Negative",426,1,0.0276232690001331,NA
32090,-0.0276195638748426,"Negative",427,1,0.0276195638748426,NA
101558,-0.0276126253825252,"Negative",428,1,0.0276126253825252,NA
96926,0.0275684549442498,"Positive",429,1,0.0275684549442498,NA
6962,0.0275663442601542,"Positive",430,1,0.0275663442601542,"4687 - 40.0 eV"
73134,-0.0275583380742069,"Negative",431,1,0.0275583380742069,NA
50053,-0.0275103929973367,"Negative",432,1,0.0275103929973367,NA
8145,-0.027508121686312,"Negative",433,1,0.027508121686312,NA
84913,-0.0274681736677946,"Negative",434,1,0.0274681736677946,NA
48484,-0.027439120448665,"Negative",435,1,0.027439120448665,NA
24529,0.0274263922499348,"Positive",436,1,0.0274263922499348,NA
89401,0.0274197007201849,"Positive",437,1,0.0274197007201849,NA
32675,-0.0273880981873037,"Negative",438,1,0.0273880981873037,NA
44632,0.0273492657083529,"Positive",439,1,0.0273492657083529,NA
50385,-0.0273329455521182,"Negative",440,1,0.0273329455521182,NA
17400,0.0273074525897338,"Positive",441,1,0.0273074525897338,NA
17097,0.0272999250737096,"Positive",442,1,0.0272999250737096,NA
67206,-0.0272920194605911,"Negative",443,1,0.0272920194605911,NA
17172,0.027215018217387,"Positive",444,1,0.027215018217387,NA
53699,-0.0271766700872891,"Negative",445,1,0.0271766700872891,NA
65980,-0.0271619507046986,"Negative",446,1,0.0271619507046986,NA
17713,-0.0271040899026949,"Negative",447,1,0.0271040899026949,"""""""Candidate Carnitine (delta mass 82.0427; sirius atomic difference: 5C, 6H, 1O; buddy atomic difference: 5C, 6H, 1O; literature atomic difference: 5C, 6H, 1O; putative explanation: CAR C5:1)"""""""
15256,-0.0270296856779227,"Negative",448,1,0.0270296856779227,NA
4873,-0.0270080336085021,"Negative",449,1,0.0270080336085021,"""""""Candidate Carnitine (delta mass 105.0214; sirius atomic difference: 6C, 3H, 1N, 1O; buddy atomic difference: 6C, 3H, 1N, 1O; literature atomic difference: 6C, 3H, 1N, 1O)"""""""
62066,-0.026997660526841,"Negative",450,1,0.026997660526841,NA
7485,-0.0269976234777211,"Negative",451,1,0.0269976234777211,"""""""Candidate Carnitine (delta mass 94.0053; sirius atomic difference: 5C, 2H, 2O; buddy atomic difference: 5C, 2H, 2O; literature atomic difference: 5C, 2H, 2O)"""""""
2933,-0.026973408106558,"Negative",452,1,0.026973408106558,NA
16163,-0.0269124986119801,"Negative",453,1,0.0269124986119801,NA
41166,0.026881264463844,"Positive",454,1,0.026881264463844,NA
104196,0.0268686678880914,"Positive",455,1,0.0268686678880914,NA
92852,0.0268435240446239,"Positive",456,1,0.0268435240446239,NA
80355,-0.026841768747339,"Negative",457,1,0.026841768747339,"""""""Candidate Monohydroxylated bile acid (delta mass 39.0112; sirius atomic difference: 2C, 1H, 1N; buddy atomic difference: 2C, 1H, 1N)"""""""
7042,-0.026828870744616,"Negative",458,1,0.026828870744616,NA
101921,-0.0268259948883392,"Negative",459,1,0.0268259948883392,NA
18458,-0.0268227627318896,"Negative",460,1,0.0268227627318896,NA
6814,-0.0268221123767733,"Negative",461,1,0.0268221123767733,NA
59795,-0.026815271401343,"Negative",462,1,0.026815271401343,NA
52154,0.0267970852170048,"Positive",463,1,0.0267970852170048,NA
45453,0.0267899223119039,"Positive",464,1,0.0267899223119039,"Homovanillyl alcohol CollisionEnergy:205060"
34443,-0.0267312305410771,"Negative",465,1,0.0267312305410771,"""""""Candidate Carnitine (delta mass 156.0785; sirius atomic difference: 8C, 12H, 3O; buddy atomic difference: 8C, 12H, 3O; literature atomic difference: 8C, 12H, 3O; putative explanation: CAR C8:1;O2)"""""""
12075,0.0266734924958813,"Positive",466,1,0.0266734924958813,NA
73236,-0.0266516960936875,"Negative",467,1,0.0266516960936875,NA
8808,-0.0266504734067221,"Negative",468,1,0.0266504734067221,NA
59564,-0.0266473944648166,"Negative",469,1,0.0266473944648166,NA
83422,0.0266200896575544,"Positive",470,1,0.0266200896575544,NA
95718,-0.0266084614826397,"Negative",471,1,0.0266084614826397,NA
10695,-0.0265999030435462,"Negative",472,1,0.0265999030435462,NA
6850,-0.0265497013831883,"Negative",473,1,0.0265497013831883,NA
85726,0.0265178093659727,"Positive",474,1,0.0265178093659727,NA
95301,0.0264715383157703,"Positive",475,1,0.0264715383157703,NA
23143,-0.0264498916974996,"Negative",476,1,0.0264498916974996,"Massbank:RP030803 N6-Threonylcarbamoyladenosine|t(6)a|(2S,3R)-2-[[9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]purin-6-yl]carbamoylamino]-3-hydroxybutanoic acid"
90401,0.0264234960251469,"Positive",477,1,0.0264234960251469,NA
93545,-0.026421699577744,"Negative",478,1,0.026421699577744,NA
41463,0.0263998353672184,"Positive",479,1,0.0263998353672184,NA
33899,-0.026373454566829,"Negative",480,1,0.026373454566829,"""""""Candidate Carnitine (delta mass 157.053; sirius atomic difference: 10C, 7H, 1N, 1O; buddy atomic difference: 10C, 7H, 1N, 1O; literature atomic difference: 10C, 7H, 1N, 1O)"""""""
11287,-0.0263731009191961,"Negative",481,1,0.0263731009191961,NA
32516,-0.0263713313324814,"Negative",482,1,0.0263713313324814,"Pyroglutamic acid_L-leucine (known isomers: 2; isobaric peaks: 2)"
56547,-0.0263647580826552,"Negative",483,1,0.0263647580826552,NA
59295,-0.0263600701790505,"Negative",484,1,0.0263600701790505,"""""""Candidate Carnitine (delta mass 196.1467; sirius atomic difference: 12C, 20H, 2O; buddy atomic difference: 12C, 20H, 2O; literature atomic difference: 12C, 20H, 2O; putative explanation: CAR C12:1;O)"""""""
68158,-0.0263449329846385,"Negative",485,1,0.0263449329846385,"""""""Candidate Carnitine (delta mass 153.1239; sirius atomic difference: 8C, 15H, 3N; potential isotope of m/z 314.2340 (CAR C10:1))"""""""
25507,-0.0263371998035964,"Negative",486,1,0.0263371998035964,NA
70457,-0.026321549132923,"Negative",487,1,0.026321549132923,NA
17781,0.0263206232722502,"Positive",488,1,0.0263206232722502,NA
66564,-0.0262191428340843,"Negative",489,1,0.0262191428340843,NA
50483,-0.0260805274598378,"Negative",490,1,0.0260805274598378,NA
7095,-0.0260794119439084,"Negative",491,1,0.0260794119439084,NA
71991,-0.026062692808604,"Negative",492,1,0.026062692808604,NA
35835,0.0260608522735444,"Positive",493,1,0.0260608522735444,NA
92437,0.0260416764563265,"Positive",494,1,0.0260416764563265,"Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14"
5860,0.0259801309381247,"Positive",495,1,0.0259801309381247,NA
64326,-0.0259734375668419,"Negative",496,1,0.0259734375668419,NA
94094,0.0259341993843415,"Positive",497,1,0.0259341993843415,NA
6140,-0.0259336836435493,"Negative",498,1,0.0259336836435493,NA
54626,-0.0259008146100584,"Negative",499,1,0.0259008146100584,NA
49064,-0.0258582976701087,"Negative",500,1,0.0258582976701087,"Candidate Carnitine (delta mass 183.0386)"
39705,-0.0258374499953481,"Negative",501,1,0.0258374499953481,NA
41340,-0.0258106521684774,"Negative",502,1,0.0258106521684774,NA
29714,-0.0257918896063612,"Negative",503,1,0.0257918896063612,NA
29622,-0.0257669146173673,"Negative",504,1,0.0257669146173673,NA
93686,0.0257647836164719,"Positive",505,1,0.0257647836164719,NA
92648,0.0257596450790744,"Positive",506,1,0.0257596450790744,NA
6530,-0.0257459877624465,"Negative",507,1,0.0257459877624465,"3-methyl-6-{4-[2-(methylsulfanyl)benzoyl]piperazin-1-yl}-3,4-dihydro-1,2,3-benzotriazin-4-one"
41129,0.0257127391292684,"Positive",508,1,0.0257127391292684,NA
60084,-0.0256807745604592,"Negative",509,1,0.0256807745604592,"Candidate Carnitine (delta mass 396.178)"
